year,point,start_depth,end_depth,lon,lat,dry_weight,soc,field
2020,29,0,12,-88.02934207,39.92999067,251.5,2.22,ICG-Field-3
2020,8,0,12,-88.03086459,39.93006724,187.3,1.93,ICG-Field-3
2020,4,0,12,-88.03203607,39.93014691,224,2.94,ICG-Field-3
2020,30,0,12,-88.03308919,39.93013753,189.1,2.77,ICG-Field-3
2020,25,0,12,-88.03355453,39.92995319,223.5,2.56,ICG-Field-3
2020,11,0,12,-88.03495597,39.9297605,204.7,2.66,ICG-Field-3
2020,31,0,12,-88.03624718,39.93001925,162.5,3.03,ICG-Field-3
2020,32,0,12,-88.03730029,39.93000984,217.8,2.11,ICG-Field-3
2020,20,0,12,-88.03739283,39.92838727,221.1,2.12,ICG-Field-3
2020,16,0,12,-88.03657512,39.92848468,235.6,2.34,ICG-Field-3
2020,23,0,12,-88.03459408,39.92904296,227.8,2.18,ICG-Field-3
2020,17,0,12,-88.03295728,39.92914765,202.6,2.02,ICG-Field-3
2020,24,0,12,-88.03272326,39.92914973,213,2.32,ICG-Field-3
2020,26,0,12,-88.03226198,39.92960432,229.5,2.39,ICG-Field-3
2020,7,0,12,-88.03108915,39.92943457,180.9,2.24,ICG-Field-3
2020,13,0,12,-88.02979932,39.92926584,248.6,1.9,ICG-Field-3
2020,22,0,12,-88.03225386,39.92906382,207.3,2.57,ICG-Field-3
2020,21,0,12,-88.03295186,39.92878731,255.1,2.87,ICG-Field-3
2020,3,0,12,-88.03342126,39.92887322,183.9,2.53,ICG-Field-3
2020,10,0,12,-88.03680098,39.92794208,220.4,1.54,ICG-Field-3
2020,15,0,12,-88.03679962,39.927852,195.9,1.75,ICG-Field-3
2020,14,0,12,-88.03726222,39.92748747,270.2,2.09,ICG-Field-3
2020,19,0,12,-88.03667989,39.92767288,241.8,1.89,ICG-Field-3
2020,12,0,12,-88.03492205,39.92750839,253.5,2.33,ICG-Field-3
2020,6,0,12,-88.03398463,39.92742666,178.9,2.11,ICG-Field-3
2020,5,0,12,-88.03247976,39.92852123,193.6,1.86,ICG-Field-3
2020,9,0,12,-88.03224032,39.92816297,209.7,1.82,ICG-Field-3
2020,2,0,12,-88.03165392,39.92807809,244.4,1.73,ICG-Field-3
2020,27,0,12,-88.0313083,39.92844155,219.5,2.15,ICG-Field-3
2020,1,0,12,-88.02931778,39.92836915,220.8,1.91,ICG-Field-3
2020,28,0,12,-88.02932048,39.92854932,180.1,1.65,ICG-Field-3
2020,18,0,12,-88.02886727,39.9295444,279.4,1.9,ICG-Field-3
