producer_id,field_id,year,Core #,SHAC #,Depth (cm),lon,lat,soc,bd,soc_tha,tot_P,pH,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6167,KS20-0001,0 - 15,,,1.3500000000000001,1.4592205132082701,60.044005677493907,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6167,KS20-0002,15 - 30,,,0.91000000000000003,1.3427456585268023,37.243467781426212,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6167,KS20-0003,30 - 50,,,0.46999999999999997,1.3232810275105642,18.95679468770534,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6167,KS20-0004,50 - 100,,,0.23999999999999999,1.2905034618096771,9.4402909238301493,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6168,KS20-0005,0 - 15,,,0.65000000000000002,1.6450833005276435,32.592390350053677,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6168,KS20-0006,15 - 30,,,0.42999999999999999,1.7303179070908457,22.67823861749546,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6168,KS20-0007,30 - 50,,,0.52000000000000002,1.5971488024701512,25.314169659630913,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6168,KS20-0008,50 - 100,,,0.46999999999999997,1.5840798850592661,22.692894801405021,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6169,KS20-0009,0 - 15,,,0.53000000000000003,1.7309424496081771,27.962336707950339,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6169,KS20-0010,15 - 30,,,0.46999999999999997,1.8462539632756292,26.44869577630136,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6169,KS20-0011,30 - 50,,,0.46000000000000002,1.6631254210600213,23.318348903598345,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6169,KS20-0012,50 - 100,,,0.42999999999999999,1.541332582445184,20.201321358559561,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6170,KS20-0013,0 - 15,,,1.3799999999999999,1.4497484014889541,60.979897162788987,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6170,KS20-0014,15 - 30,,,1.21,1.5007367264051306,55.348371059202343,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6170,KS20-0015,30 - 50,,,0.75,1.5249342732805207,34.859997487192707,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6170,KS20-0016,50 - 100,,,0.37,1.2704024938254017,14.327091164365351,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6171,KS20-0017,0 - 15,,,0.93999999999999995,1.5595716074669836,44.683598039858047,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6171,KS20-0018,15 - 30,,,0.98999999999999999,1.5453581803761725,46.631492164487085,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6171,KS20-0019,30 - 50,,,0.56000000000000005,1.5845158340112713,27.04578386757159,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6171,KS20-0020,50 - 100,,,0.28000000000000003,1.1560831382368415,9.8664759349685021,,,,,,,,,,,,,,,,,
