Project,Field,Lat,Lon
Illinois Corn Growers Project,ICG-Field-1,39.92415347,-88.02570659
Illinois Corn Growers Project,ICG-Field-2,39.92840893,-88.025408
Illinois Corn Growers Project,ICG-Field-3,39.92900748,-88.0341661
Illinois Corn Growers Project,ICG-Field-4,39.92610315,-88.02562949
Illinois Corn Growers Project,ICG-Field-5,39.36191575,-89.57524281
Illinois Corn Growers Project,ICG-Field-6,39.35838947,-89.58456201
Illinois Corn Growers Project,ICG-Field-7,39.98566896,-88.37140655
Illinois Corn Growers Project,ICG-Field-8,40.68879093,-88.18212863
Illinois Corn Growers Project,ICG-Field-9,40.68796912,-88.19790384
Illinois Corn Growers Project,ICG-Field-10,40.72396211,-88.16018066
Illinois Corn Growers Project,ICG-Field-11,40.23768124,-87.73229698
Illinois Corn Growers Project,ICG-Field-12,40.35820221,-87.65997526
Illinois Corn Growers Project,ICG-Field-13,39.3772369,-88.03025317
Illinois Corn Growers Project,ICG-Field-14,39.35060453,-88.09633717
Illinois Corn Growers Project,ICG-Field-15,40.17560437,-87.88584123
Illinois Corn Growers Project,ICG-Field-16,40.19084233,-87.92284624
Illinois Corn Growers Project,ICG-Field-17,39.34903644,-88.12778557
Illinois Corn Growers Project,ICG-Field-18,39.35731186,-88.12795808
Illinois Corn Growers Project,ICG-Field-19,39.36508027,-88.1393379
Illinois Corn Growers Project,ICG-Field-20,39.37152933,-88.13155094
Illinois Corn Growers Project,ICG-Field-21,39.35769832,-88.10774347
Illinois Corn Growers Project,ICG-Field-22,39.43127139,-88.06139512
Illinois Corn Growers Project,ICG-Field-23,39.43409027,-88.06077285
Illinois Corn Growers Project,ICG-Field-24,40.38371187,-87.78055901
Illinois Corn Growers Project,ICG-Field-25,40.38093422,-87.78176808
Illinois Corn Growers Project,ICG-Field-26,40.385629,-87.77530718
Illinois Corn Growers Project,ICG-Field-27,40.38204296,-87.771492
Illinois Corn Growers Project,ICG-Field-28,40.367428,-87.79491091
Illinois Corn Growers Project,ICG-Field-29,38.02976677,-89.90598717
Illinois Corn Growers Project,ICG-Field-30,38.04236502,-89.92300057
Illinois Corn Growers Project,ICG-Field-31,38.03469996,-89.93392515
Illinois Corn Growers Project,ICG-Field-32,38.01354799,-89.92300653
Illinois Corn Growers Project,ICG-Field-33,38.02067288,-89.91354597
Illinois Corn Growers Project,ICG-Field-34,38.01978697,-89.90533267
