CoreID,SoilCoreLength_cm,HoleDepth_cm,BitSize,Team,Aspect,Weather,SoilCondition,Note,CollectionDate,ESRIGNSS_LATITUDE,ESRIGNSS_LONGITUDE,ESRIGNSS_ALTITUDE
5225,50,50,I,,Flat,Overcast,Wet,,9/19/19 15:57,38.01094199,-98.04798522,460.5262646
5226,100,100,I,,Flat,Overcast,,"We couldn’t sample nearest as soil sample was too wet , only 85cm. We moved to this spot and got 100cm",9/19/19 15:57,38.01066761,-98.04719505,457.3311448
4475,100,100,III,,Flat,Overcast,,,9/19/19 15:57,37.96524465,-98.01534059,453.1550403
5227,50,50,I,,Flat,Overcast,,,9/19/19 15:57,38.0110229,-98.0472885,459.0276069
4476,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96579054,-98.01544052,453.9809869
5228,50,50,I,,Flat,Overcast,,,9/19/19 15:57,38.01146768,-98.04727823,461.085857
4477,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96632617,-98.01576811,453.899874
4478,50,50,I,,Flat,Overcast,,,9/19/19 15:57,37.96606238,-98.01633712,453.1273107
4479,100,100,III,,Flat,Overcast,,,9/19/19 15:57,37.96552014,-98.01634359,453.963962
4480,50,50,I,,Flat,Overcast,,,9/19/19 15:57,37.96570152,-98.0169116,453.9586588
5229,50,50,I,,Flat,Overcast,,,9/19/19 15:57,38.01164772,-98.0462666,459.9798559
4481,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96544675,-98.01735974,453.1389454
5230,50,50,I,,Flat,Overcast ,Wet,,9/19/19 15:57,38.01172619,-98.0456825,459.1408489
4482,50,50,I,,Flat,Overcast,,,9/19/19 15:57,37.96553184,-98.01883664,452.4631667
4483,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.9669832,-98.01870233,453.4853446
4484,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96707228,-98.01882093,452.1386394
5231,50,50,I,,Flat,Overcast,,,9/19/19 15:57,38.0108983,-98.04398089,458.6108861
5232,50,50,I,,Flat,Overcast,,,9/19/19 15:57,38.01144101,-98.04386366,459.5652724
4485,100,100,III,,Flat,Overcast,,,9/19/19 15:57,37.96631733,-98.01731773,450.2701627
4486,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.9666103,-98.01723499,452.8583665
5233,50,50,I,,Flat,Overcast,,,9/19/19 15:57,38.01030913,-98.04911432,459.8449406
4487,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96715672,-98.01711298,453.5209486
4488,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96733356,-98.01667381,453.7652157
4489,50,50,II,,Flat,Overcast,,,9/19/19 15:57,37.96768949,-98.0171149,452.7764241
4490,100,100,III,,Flat,Overcast,,,9/19/19 15:57,37.96818353,-98.01846718,452.3718486
5234,50,50,II,,Flat,Sunny,,,9/19/19 15:57,38.01031947,-98.0465926,459.7446641
4491,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00464858,-97.88391443,429.8040699
5235,50,50,II,,Flat,Sunny,,,9/19/19 15:57,38.01016521,-98.04294882,457.886447
4492,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00432943,-97.88278327,429.4094526
4493,100,100,I,,Flat,Sunny,,,9/19/19 15:57,38.00388459,-97.88243575,430.024978
5236,100,100,III,,Flat,Sunny,Wet,,9/19/19 15:57,38.01044043,-98.04240018,458.059922
5237,50,50,II,,Flat,Sunny,,,9/19/19 15:57,38.01115047,-98.04182788,458.0897454
4494,100,100,I,,Flat,Sunny,,,9/19/19 15:57,38.00414936,-97.88163241,433.0275361
5238,50,50,II,,Flat,Sunny,,,9/19/19 15:57,38.01112399,-98.04200298,461.2074892
4495,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00331959,-97.88040919,429.8496818
4496,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00341612,-97.88017636,430.9793215
5239,50,50,II,,Flat,Sunny,,,9/19/19 15:57,38.01168546,-98.04212743,459.264261
4497,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00304415,-97.87905325,429.5852763
4498,100,100,I,,Flat,Sunny,,,9/19/19 15:57,38.00275784,-97.87835978,430.9704583
4499,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00275948,-97.87813566,432.1472503
5240,100,100,III,,Flat,Sunny,,,9/19/19 15:57,38.01110092,-98.04637402,459.2069709
4500,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00212641,-97.87769957,430.8410124
4501,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00249201,-97.87701507,429.9773931
4502,50,50,I,,Flat,Sunny,,,9/19/19 15:57,38.00321044,-97.87652933,429.62657
5241,100,100,III,,Flat,Sunny,,,9/19/19 15:57,38.01118915,-98.04648978,458.2149801
4503,100,100,I,,Flat,Sunny,,,9/19/19 15:57,38.00321126,-97.87757225,431.1734188
4504,100,100,I,,Flat,Sunny,,,9/19/19 15:57,38.00419861,-97.87651565,430.4500107
4505,100,100,I,,Flat,Mostly Sunny,,,9/19/19 15:57,38.00524547,-97.8824128,430.8449909
4506,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.00540612,-97.8805861,433.1027597
4507,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.00576347,-97.88070874,432.2780548
4508,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.00630229,-97.88024811,431.7993291
4509,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.00539923,-97.87956694,432.2512309
4510,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.00539003,-97.87865619,430.8454514
4511,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.0050037,-97.87755211,431.6227242
4512,50,50,I,,Flat,Partially Cloudy,,,9/19/19 15:57,38.00455264,-97.87732077,432.0261342
5242,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99802092,-97.93024701,439.379717
4513,100,100,I,,Flat,Cloudy,,,9/19/19 15:57,38.00438983,-97.87765767,432.001887
4514,50,50,I,,Flat,Cloudy,,,9/19/19 15:57,38.00401452,-97.87768082,431.2183993
5243,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99712366,-97.93027927,438.5480551
4515,50,50,I,,Flat,Cloudy,,,9/19/19 15:57,38.00394352,-97.87824122,431.3945319
4516,50,50,I,,Flat,Cloudy,,,9/19/19 15:57,38.00421386,-97.87867828,432.4823526
5244,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99630816,-97.92993579,439.3007009
4517,50,50,I,,Flat,Cloudy,,,9/19/19 15:57,38.00431971,-97.87958979,431.9563793
5245,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99594648,-97.92949871,440.8524358
5246,100,100,III,,Flat,Clear,,,9/19/19 15:57,37.99532056,-97.92984888,440.3582079
5247,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99477516,-97.92985149,441.5637431
5248,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99423792,-97.930087,441.1084877
5249,50,50,II,,Flat,Clear,,,9/19/19 15:57,37.99423586,-97.92973964,441.3442521
