Project,Field,Lat,Lon
Southern Great Plains Project,SGP-Field-1,33.47260056,-97.38797273
Southern Great Plains Project,SGP-Field-2,33.47560169,-97.38477389
Southern Great Plains Project,SGP-Field-3,33.48690264,-97.37189938
Southern Great Plains Project,SGP-Field-4,33.48687329,-97.38231002
Southern Great Plains Project,SGP-Field-5,33.48122398,-97.38200695
Southern Great Plains Project,SGP-Field-6,33.48252624,-97.37925819
Southern Great Plains Project,SGP-Field-7,33.48116437,-97.38289705
Southern Great Plains Project,SGP-Field-8,33.48096503,-97.38947642
Southern Great Plains Project,SGP-Field-9,33.48380804,-97.39154256
Southern Great Plains Project,SGP-Field-10,33.48301349,-97.38676565
Southern Great Plains Project,SGP-Field-11,33.47652622,-97.38957084
Southern Great Plains Project,SGP-Field-12,33.4803617,-97.37771614
Southern Great Plains Project,SGP-Field-13,33.45581774,-97.37110341
Southern Great Plains Project,SGP-Field-14,33.45500985,-97.37190941
Southern Great Plains Project,SGP-Field-15,33.45195958,-97.37148323
Southern Great Plains Project,SGP-Field-16,33.44830486,-97.37267602
Southern Great Plains Project,SGP-Field-17,33.47933185,-97.38008836
Southern Great Plains Project,SGP-Field-18,33.47810695,-97.37276618
Southern Great Plains Project,SGP-Field-19,33.49364408,-97.38104014
Southern Great Plains Project,SGP-Field-20,33.49205186,-97.38012562
Southern Great Plains Project,SGP-Field-21,33.45444064,-97.3798637
Southern Great Plains Project,SGP-Field-22,33.45263665,-97.37786688
Southern Great Plains Project,SGP-Field-23,33.45677285,-97.37985656
Southern Great Plains Project,SGP-Field-24,33.45838839,-97.37727284
Southern Great Plains Project,SGP-Field-25,33.47448736,-97.37583424
Southern Great Plains Project,SGP-Field-26,33.47358817,-97.37634896
Southern Great Plains Project,SGP-Field-27,33.45806897,-97.38117992
Southern Great Plains Project,SGP-Field-28,33.45878081,-97.38356875
Southern Great Plains Project,SGP-Field-29,33.46382988,-97.38407488
Southern Great Plains Project,SGP-Field-30,33.49299571,-97.37719419
Southern Great Plains Project,SGP-Field-31,33.49198901,-97.37741532
Southern Great Plains Project,SGP-Field-32,33.48391455,-97.37354566
Southern Great Plains Project,SGP-Field-33,33.48361031,-97.37501626
Southern Great Plains Project,SGP-Field-34,33.48417554,-97.37444725
Southern Great Plains Project,SGP-Field-35,33.48417191,-97.37757034
Southern Great Plains Project,SGP-Field-36,33.48404981,-97.37647836
Southern Great Plains Project,SGP-Field-37,33.48713745,-97.37416832
Southern Great Plains Project,SGP-Field-38,33.48560835,-97.37425698
Southern Great Plains Project,SGP-Field-39,33.50887006,-97.37507085
Southern Great Plains Project,SGP-Field-40,33.46904162,-97.37251084
Southern Great Plains Project,SGP-Field-41,33.46975996,-97.37179493
Southern Great Plains Project,SGP-Field-42,33.4876677,-97.37758009
Southern Great Plains Project,SGP-Field-43,33.48716339,-97.37636134
Southern Great Plains Project,SGP-Field-44,33.47277853,-97.37251299
Southern Great Plains Project,SGP-Field-45,33.49324902,-97.37366239
Southern Great Plains Project,SGP-Field-46,33.4855671,-97.37348083
Southern Great Plains Project,SGP-Field-47,33.49922022,-97.37516202
Southern Great Plains Project,SGP-Field-48,33.47676046,-97.37442189
Southern Great Plains Project,SGP-Field-49,33.47667029,-97.37585588
Southern Great Plains Project,SGP-Field-50,33.47634453,-97.37703444
Southern Great Plains Project,SGP-Field-51,33.46854992,-97.36809707
Southern Great Plains Project,SGP-Field-52,33.48078824,-97.37384763
Southern Great Plains Project,SGP-Field-53,33.46930635,-97.36979612
Southern Great Plains Project,SGP-Field-54,33.50112407,-97.37900802
Southern Great Plains Project,SGP-Field-55,33.47954757,-97.37676551
Southern Great Plains Project,SGP-Field-56,33.48152631,-97.37460922
Southern Great Plains Project,SGP-Field-57,33.47959068,-97.37505558
Southern Great Plains Project,SGP-Field-58,33.48508481,-97.37415875
Southern Great Plains Project,SGP-Field-59,33.45165075,-97.3756915
Southern Great Plains Project,SGP-Field-60,33.45473373,-97.37516537
Southern Great Plains Project,SGP-Field-61,33.47366663,-97.37056875
Southern Great Plains Project,SGP-Field-62,33.47371759,-97.36993605
Southern Great Plains Project,SGP-Field-63,33.50493914,-97.35569185
Southern Great Plains Project,SGP-Field-64,33.50534684,-97.36261716
Southern Great Plains Project,SGP-Field-65,33.50983668,-97.36009638
Southern Great Plains Project,SGP-Field-66,33.50471908,-97.35966065
Southern Great Plains Project,SGP-Field-67,33.50860735,-97.35548903
Southern Great Plains Project,SGP-Field-68,33.50936271,-97.35824986
Southern Great Plains Project,SGP-Field-69,33.49671068,-97.37849822
Southern Great Plains Project,SGP-Field-70,33.49641485,-97.37880871
Southern Great Plains Project,SGP-Field-71,33.47174484,-97.36521146
Southern Great Plains Project,SGP-Field-72,33.47166769,-97.36571594
Southern Great Plains Project,SGP-Field-73,33.48097833,-97.3782754
