Project,Field,Lat,Lon
The Fertilizer Institute (TFI) Project,TFI-Field-1,40.49786261,-89.06999718
The Fertilizer Institute (TFI) Project,TFI-Field-2,42.00660122,-91.15297208
The Fertilizer Institute (TFI) Project,TFI-Field-3,42.0055438,-91.15059154
The Fertilizer Institute (TFI) Project,TFI-Field-4,42.0143295,-91.16294072
The Fertilizer Institute (TFI) Project,TFI-Field-5,42.01522637,-91.15781279
The Fertilizer Institute (TFI) Project,TFI-Field-6,42.01378097,-91.16360079
The Fertilizer Institute (TFI) Project,TFI-Field-7,42.01048291,-91.16300001
The Fertilizer Institute (TFI) Project,TFI-Field-8,42.00931665,-91.15921527
The Fertilizer Institute (TFI) Project,TFI-Field-9,42.01023867,-91.16743425
The Fertilizer Institute (TFI) Project,TFI-Field-10,42.04070731,-91.17723355
The Fertilizer Institute (TFI) Project,TFI-Field-11,42.03809885,-91.17204389
The Fertilizer Institute (TFI) Project,TFI-Field-12,42.03423426,-91.17947015
The Fertilizer Institute (TFI) Project,TFI-Field-13,42.03462043,-91.17664199
The Fertilizer Institute (TFI) Project,TFI-Field-14,42.03112313,-91.18067407
The Fertilizer Institute (TFI) Project,TFI-Field-15,42.03105551,-91.18823793
The Fertilizer Institute (TFI) Project,TFI-Field-16,42.0320913,-91.18915565
The Fertilizer Institute (TFI) Project,TFI-Field-17,42.03116536,-91.18717153
The Fertilizer Institute (TFI) Project,TFI-Field-18,42.03019737,-91.19284452
The Fertilizer Institute (TFI) Project,TFI-Field-19,42.02818594,-91.19482758
The Fertilizer Institute (TFI) Project,TFI-Field-20,42.02763018,-91.19353779
The Fertilizer Institute (TFI) Project,TFI-Field-21,42.05111719,-91.20433566
The Fertilizer Institute (TFI) Project,TFI-Field-22,42.0494191,-91.20366954
The Fertilizer Institute (TFI) Project,TFI-Field-23,42.05149377,-91.20238658
The Fertilizer Institute (TFI) Project,TFI-Field-24,42.05667388,-91.20210844
The Fertilizer Institute (TFI) Project,TFI-Field-25,42.05819212,-91.20631104
The Fertilizer Institute (TFI) Project,TFI-Field-26,42.05603871,-91.20791994
The Fertilizer Institute (TFI) Project,TFI-Field-27,42.04704431,-91.13434264
The Fertilizer Institute (TFI) Project,TFI-Field-28,42.04444097,-91.13457817
The Fertilizer Institute (TFI) Project,TFI-Field-29,42.04774402,-91.12926683
The Fertilizer Institute (TFI) Project,TFI-Field-30,42.03506595,-91.12939694
The Fertilizer Institute (TFI) Project,TFI-Field-31,42.03531745,-91.12653028
The Fertilizer Institute (TFI) Project,TFI-Field-32,42.03016329,-91.11146587
The Fertilizer Institute (TFI) Project,TFI-Field-33,42.03012977,-91.11421498
The Fertilizer Institute (TFI) Project,TFI-Field-34,41.95421704,-91.12954157
