field_id,year,core_id,lat,lon,shac_id,depth,soc,bd
GMP-Field-51,2020,6167,37.91729409,-98.10604911,KS20-0001,0 - 15,1.3500000000000001,1.4592205132082701
GMP-Field-51,2020,6167,37.91729409,-98.10604911,KS20-0002,15 - 30,0.91000000000000003,1.3427456585268023
GMP-Field-51,2020,6167,37.91729409,-98.10604911,KS20-0003,30 - 50,0.46999999999999997,1.3232810275105642
GMP-Field-51,2020,6167,37.91729409,-98.10604911,KS20-0004,50 - 100,0.23999999999999999,1.2905034618096771
GMP-Field-51,2020,6168,37.91811952,-98.10617085,KS20-0005,0 - 15,0.65000000000000002,1.6450833005276435
GMP-Field-51,2020,6168,37.91811952,-98.10617085,KS20-0006,15 - 30,0.42999999999999999,1.7303179070908457
GMP-Field-51,2020,6168,37.91811952,-98.10617085,KS20-0007,30 - 50,0.52000000000000002,1.5971488024701512
GMP-Field-51,2020,6168,37.91811952,-98.10617085,KS20-0008,50 - 100,0.46999999999999997,1.5840798850592661
GMP-Field-51,2020,6169,37.91828504,-98.10581907,KS20-0009,0 - 15,0.53000000000000003,1.7309424496081771
GMP-Field-51,2020,6169,37.91828504,-98.10581907,KS20-0010,15 - 30,0.46999999999999997,1.8462539632756292
GMP-Field-51,2020,6169,37.91828504,-98.10581907,KS20-0011,30 - 50,0.46000000000000002,1.6631254210600213
GMP-Field-51,2020,6169,37.91828504,-98.10581907,KS20-0012,50 - 100,0.42999999999999999,1.541332582445184
GMP-Field-51,2020,6170,37.91857553,-98.10797953,KS20-0013,0 - 15,1.3799999999999999,1.4497484014889541
GMP-Field-51,2020,6170,37.91857553,-98.10797953,KS20-0014,15 - 30,1.21,1.5007367264051306
GMP-Field-51,2020,6170,37.91857553,-98.10797953,KS20-0015,30 - 50,0.75,1.5249342732805207
GMP-Field-51,2020,6170,37.91857553,-98.10797953,KS20-0016,50 - 100,0.37,1.2704024938254017
GMP-Field-51,2020,6171,37.91848343,-98.10877354,KS20-0017,0 - 15,0.93999999999999995,1.5595716074669836
GMP-Field-51,2020,6171,37.91848343,-98.10877354,KS20-0018,15 - 30,0.98999999999999999,1.5453581803761725
GMP-Field-51,2020,6171,37.91848343,-98.10877354,KS20-0019,30 - 50,0.56000000000000005,1.5845158340112713
GMP-Field-51,2020,6171,37.91848343,-98.10877354,KS20-0020,50 - 100,0.28000000000000003,1.1560831382368415
GMP-Field-51,2020,6172,37.91777307,-98.10901254,KS20-0021,0 - 15,0.85999999999999999,1.7284484676143883
GMP-Field-51,2020,6172,37.91777307,-98.10901254,KS20-0022,15 - 30,0.76000000000000001,1.5812291515015757
GMP-Field-51,2020,6172,37.91777307,-98.10901254,KS20-0023,30 - 50,0.58999999999999997,1.6067475743989372
GMP-Field-51,2020,6172,37.91777307,-98.10901254,KS20-0024,50 - 100,0.31,1.6215816508324905
GMP-Field-51,2020,6173,37.91813202,-98.10980106,KS20-0025,0 - 15,0.52000000000000002,1.6338268964722649
GMP-Field-51,2020,6173,37.91813202,-98.10980106,KS20-0026,15 - 30,0.29999999999999999,1.8035670790382625
GMP-Field-51,2020,6173,37.91813202,-98.10980106,KS20-0027,30 - 50,0.32000000000000001,1.748227927338055
GMP-Field-51,2020,6173,37.91813202,-98.10980106,KS20-0028,50 - 100,0.29999999999999999,1.6768225830567274
GMP-Field-51,2020,6174,37.91840662,-98.11026094,KS20-0029,0 - 15,0.48999999999999999,1.5906099920224743
GMP-Field-51,2020,6174,37.91840662,-98.11026094,KS20-0030,15 - 30,0.25,1.6698392703412617
GMP-Field-51,2020,6174,37.91840662,-98.11026094,KS20-0031,30 - 50,0.25,1.7034822659437145
GMP-Field-51,2020,6174,37.91840662,-98.11026094,KS20-0032,50 - 100,0.33000000000000002,1.2569593660780358
GMP-Field-51,2020,6175,37.91904646,-98.11173056,KS20-0033,0 - 15,0.62,1.7079504267859116
GMP-Field-51,2020,6175,37.91904646,-98.11173056,KS20-0034,15 - 30,0.81999999999999995,1.562284080521541
GMP-Field-51,2020,6175,37.91904646,-98.11173056,KS20-0035,30 - 50,0.68999999999999995,1.661258626679734
GMP-Field-51,2020,6175,37.91904646,-98.11173056,KS20-0036,50 - 100,0.33000000000000002,1.6547077672842077
GMP-Field-51,2020,6176,37.91824745,-98.11312538,KS20-0037,0 - 15,0.57999999999999996,1.5381085124252039
GMP-Field-51,2020,6176,37.91824745,-98.11312538,KS20-0038,15 - 30,0.68999999999999995,1.5993389177329229
GMP-Field-51,2020,6176,37.91824745,-98.11312538,KS20-0039,30 - 50,0.85999999999999999,1.618537447163866
GMP-Field-51,2020,6176,37.91824745,-98.11312538,KS20-0040,50 - 100,0.23999999999999999,1.7264083578029401
GMP-Field-51,2020,6177,37.91734645,-98.11277211,KS20-0041,0 - 15,0.70999999999999996,1.6409676922651808
GMP-Field-51,2020,6177,37.91734645,-98.11277211,KS20-0042,15 - 30,0.56999999999999995,1.7935007367549347
GMP-Field-51,2020,6177,37.91734645,-98.11277211,KS20-0043,30 - 50,0.56999999999999995,1.6477816627888433
GMP-Field-51,2020,6177,37.91734645,-98.11277211,KS20-0044,50 - 100,0.22,1.6554371871161222
GMP-Field-51,2020,6178,37.9172504,-98.1126714,KS20-0045,0 - 15,0.59999999999999998,1.8017231687527488
GMP-Field-51,2020,6178,37.9172504,-98.1126714,KS20-0046,15 - 30,0.76000000000000001,1.6038455230734421
