Project,Field,Lat,Lon
IL Corn,ICG-Field-1,39.92424,-88.02446
IL Corn,ICG-Field-2,39.92886,-88.02415
IL Corn,ICG-Field-3,39.92866,-88.03352
IL Corn,ICG-Field-4,39.92616,-88.02426
IL Corn,ICG-Field-5,39.36162,-89.57569
IL Corn,ICG-Field-6,39.3577,-89.58431
IL Corn,ICG-Field-7,39.98533,-88.37125
IL Corn,ICG-Field-8,40.68878,-88.18245
IL Corn,ICG-Field-9,40.6864,-88.19689
IL Corn,ICG-Field-10,40.72326,-88.15983
IL Corn,ICG-Field-11,40.23727,-87.73287
IL Corn,ICG-Field-12,40.35895,-87.66237
IL Corn,ICG-Field-13,39.37454,-88.03104
IL Corn,ICG-Field-14,39.34925,-88.09268
IL Corn,ICG-Field-15,40.17614,-87.88427
IL Corn,ICG-Field-16,40.18867,87.91859
IL Corn,ICG-Field-17,39.34971,-88.12685
IL Corn,ICG-Field-18,39.35453,-88.12875
IL Corn,ICG-Field-19,39.36498,-88.13761
IL Corn,ICG-Field-20,39.37077,-88.1281
IL Corn,ICG-Field-21,39.35796,-88.10887
IL Corn,ICG-Field-22,39.43073,-88.0613
IL Corn,ICG-Field-23,39.43421,-88.06073
IL Corn,ICG-Field-26,40.38514,-87.77404
IL Corn,ICG-Field-27,40.38161,-87.77113
IL Corn,ICG-Field-28,40.36673,-87.7925
IL Corn,ICG-Field-29,38.03017,-89.90607
IL Corn,ICG-Field-30,38.04264,-89.92319
IL Corn,ICG-Field-31,38.03314,-89.93327
IL Corn,ICG-Field-32,38.01383,-89.92411
IL Corn,ICG-Field-33,38.02107,-89.9154
IL Corn,ICG-Field-34,38.01897,-89.90513
