field,year,point,start_depth,end_depth,lon,lat,dry_weight,soc,bd,soc (t/ha)
ICG-Field-3,2020,29,0,12,-88.029342,39.9299907,251.5,2.22,1.3279,89.85315024
ICG-Field-3,2020,8,0,12,-88.030865,39.9300672,187.3,1.93,1.2641,74.36245224
ICG-Field-3,2020,4,0,12,-88.032036,39.9301469,224,2.94,1.2446,111.5300995
ICG-Field-3,2020,30,0,12,-88.033089,39.9301375,189.1,2.77,1.2892,108.8466403
ICG-Field-3,2020,25,0,12,-88.033555,39.9299532,223.5,2.56,1.2951,101.0550989
ICG-Field-3,2020,11,0,12,-88.034956,39.9297605,204.7,2.66,1.2577,101.9702914
ICG-Field-3,2020,31,0,12,-88.036247,39.9300193,162.5,3.03,1.257,116.0894808
ICG-Field-3,2020,32,0,12,-88.0373,39.9300098,217.8,2.11,1.3465,86.5971852
ICG-Field-3,2020,20,0,12,-88.037393,39.9283873,221.1,2.12,1.3262,85.69586112
ICG-Field-3,2020,16,0,12,-88.036575,39.9284847,235.6,2.34,1.3336,95.11661952
ICG-Field-3,2020,23,0,12,-88.034594,39.929043,227.8,2.18,1.3877,92.20766928
ICG-Field-3,2020,17,0,12,-88.032957,39.9291477,202.6,2.02,1.265,77.885544
ICG-Field-3,2020,24,0,12,-88.032723,39.9291497,213,2.32,1.2494,88.34957184
ICG-Field-3,2020,26,0,12,-88.032262,39.9296043,229.5,2.39,1.2534,91.30668048
ICG-Field-3,2020,7,0,12,-88.031089,39.9294346,180.9,2.24,1.2516,85.45324032
ICG-Field-3,2020,13,0,12,-88.029799,39.9292658,248.6,1.9,1.3287,76.9476744
ICG-Field-3,2020,22,0,12,-88.032254,39.9290638,207.3,2.57,1.265,99.092004
ICG-Field-3,2020,21,0,12,-88.032952,39.9287873,255.1,2.87,1.2553,109.8106313
ICG-Field-3,2020,3,0,12,-88.033421,39.9288732,183.9,2.53,1.2677,97.75792488
ICG-Field-3,2020,10,0,12,-88.036801,39.9279421,220.4,1.54,1.3874,65.12344608
ICG-Field-3,2020,15,0,12,-88.0368,39.927852,195.9,1.75,1.3874,74.003916
ICG-Field-3,2020,14,0,12,-88.037262,39.9274875,270.2,2.09,1.3413,85.44510216
ICG-Field-3,2020,19,0,12,-88.03668,39.9276729,241.8,1.89,1.3479,77.64874488
ICG-Field-3,2020,12,0,12,-88.034922,39.9275084,253.5,2.33,1.2625,89.66073
ICG-Field-3,2020,6,0,12,-88.033985,39.9274267,178.9,2.11,1.3418,86.29491504
ICG-Field-3,2020,5,0,12,-88.03248,39.9285212,193.6,1.86,1.3785,78.1510248
ICG-Field-3,2020,9,0,12,-88.03224,39.928163,209.7,1.82,1.3785,76.4703576
ICG-Field-3,2020,2,0,12,-88.031654,39.9280781,244.4,1.73,1.3367,70.48472568
ICG-Field-3,2020,27,0,12,-88.031308,39.9284416,219.5,2.15,1.3925,91.25331
ICG-Field-3,2020,1,0,12,-88.029318,39.9283692,220.8,1.91,1.3545,78.8546556
ICG-Field-3,2020,28,0,12,-88.02932,39.9285493,180.1,1.65,1.3545,68.120514
ICG-Field-3,2020,18,0,12,-88.028867,39.9295444,279.4,1.9,1.3369,77.4225528
ICG-Field-4,2020,16,0,12,-88.026827,39.9255861,167.3,2.48,1.3253,100.1799571
ICG-Field-4,2020,6,0,12,-88.026125,39.9255923,196.3,3.07,1.3377,125.1734047
ICG-Field-4,2020,1,0,12,-88.02554,39.9255975,293.4,1.93,1.3355,78.5626572
ICG-Field-4,2020,20,0,12,-88.02355,39.925525,234.6,2.32,1.3834,97.82519424
ICG-Field-4,2020,21,0,12,-88.023199,39.9255281,213.9,1.98,1.3834,83.48874336
ICG-Field-4,2020,17,0,12,-88.023085,39.9257093,201.1,2.46,1.2738,95.51054304
ICG-Field-4,2020,12,0,12,-88.022849,39.9256213,223.7,2.11,1.2565,80.8090332
